Edible,Color,Shape,Surface
P,Brown,Convex,FlatScales
E,White-Pale,Convex,Smooth
P,White-Gray,Convex-Flat,Smooth
E,Brown-Purple,Convex,Smooth-Silky
E,Violet-Tan,Convex-Knobbed,Smooth
I,Red-Orange,Convex-Bellshaped,Patches
I,Red,Conical-Bellshaped,Smooth
I,Orange,Convex,Patches
E,Black,Truffles,
E,White,Convex-Flat,FlatScales
E,White-Gray,Convex-Flat,Fibrous-FlatScales
P,Gray,Convex-Bellshaped,Smooth
I,Yellow,Bellshaped-Conical,RaisedScales-Fibrous
P,White-Gray,Convex-Flat,FlatScales
E,White,Convex-Bellshaped,Patches
I,White,Convex-Flat,Patches-Fibrous
P,Yellow,Convex-Flat,Smooth-Powder
I,Brown,Convex,Smooth
E,White,Funnelshaped,Smooth
E,Brown,Convex-Flat,Smooth
E,Brown,Convex-Flat,Hairy-Fibrous
P,Yellow-Tan,Convex-Depressed,Smooth
P,White,Convex,Smooth
I,Green-Yellow,Conical-Flat,Smooth
E,Brown,Puffballs,RaisedScales
E,White,Puffballs,RaisedScales
I,White,Puffballs,RaisedScales-Patches
P,Brown,Puffballs,RaisedScales
E,White,Puffballs,RaisedScales
E,White,Puffballs,RaisedScales
E,White,Puffballs,RaisedScales
E,Brown-Pale,Puffballs,RaisedScales
E,Brown,Puffballs,RaisedScales
E,White-Pale,Puffballs,FlatScales-RaisedScales
P,White,Convex,Smooth
E,Gray-Brown,Convex-Flat,Smooth
E,Brown,Convex-Flat,Smooth-FlatScales
E,Gray-Brown,Convex-Flat,Smooth
P,Pale,Stinkhorns,
I,White,Convex,Smooth-Powder
I,Pale,Convex-Flat,Smooth
I,Brown,Bellshaped-Flat,Smooth-Silky
E,White-Brown,Conical,FlatScales-Patches
E,White-Brown,Convex-Knobbed,Patches
E,Yellow-Purple,Convex-Flat,FlatScales-Fibrous
I,White,Convex-Depressed,Powder-Smooth
I,Brown,Convex-Flat,Smooth
P,White,Convex-Flat,Smooth
I,White-Pale,Bellshaped-Depressed,Smooth
P,Pink,Bellshaped-Conical,Smooth
E,Pale,Convex-Knobbed,Smooth
I,Brown-White,Convex-Depressed,Smooth
P,Pale-Orange,Bellshaped-Knobbed,Smooth
P,Gray,Convex-Knobbed,Smooth
E,Brown-Gray,Convex-Flat,Smooth
I,Black,Truffles,
E,Brown,Convex-Knobbed,Smooth
E,Brown-Black,Convex,Smooth
E,Brown,Convex-Flat,Smooth
P,Orange,CupFungi,Smooth-RaisedScales
E,Brown,Polypore,Smooth
E,White-Brown,Polypore-Shellshaped,Smooth-Velvety
P,Brown,ToothFungi,Smooth
P,Brown-Green,CoralFungi,Smooth
P,Yellow,CoralFungi,Smooth
P,Blue-Green,CoralFungi,Smooth
I,Red,CupFungi,Hairy
I,Red,CupFungi,Smooth-Hairy
P,Yellow,CoralFungi,Smooth
E,Brown-Black,TrueMorels-Conical,
E,Gray,TrueMorels-Cylindrical,
E,Tan,TrueMorels-Conical,
E,Black,TrueMorels,
E,Brown-Black,TrueMorels-Conical,
E,Purple-Black,TrueMorels-Conical,
E,Gray-Black,TrueMorels-Conical,
E,Black,TrueMorels-Conical,
E,Gray,TrueMorels,
E,Black,TrueMorels,
E,Gray-Black,TrueMorels,
E,Pale,TrueMorels-Conical,
P,Red,Stinkhorns,
I,Orange-Yellow,Stinkhorns,Slimy
E,Red-Black,Stinkhorns,
P,Orange-Red,Convex-Bellshaped,Smooth
I,Pink,Conical-Bellshaped,Smooth
I,Gray,Conical-Bellshaped,Smooth
I,Gray,Conical-Bellshaped,Smooth
I,Blue-Brown,Conical-Convex,Smooth
P,Gray,Conical-Bellshaped,Smooth
P,Yellow,Bellshaped,Smooth
I,White,Convex-Bellshaped,Powder
E,Pale,JellyFungi-Convex,Smooth
P,Violet,Convex,Smooth
E,Yellow,Conical-Bellshaped,Smooth
P,Pale,Conical,Smooth
E,Gray-Brown,Conical,Smooth
I,White-Yellow,Conical,Smooth
P,Pink,Convex,Smooth
I,Tan-Gray,Convex-Knobbed,Smooth
I,Pale-Gray,Conical-Bellshaped,Smooth
P,Pale,Bellshaped-Conical,Smooth
I,Brown,Convex-Funnelshaped,Smooth
I,Brown,Convex,Smooth
P,White-Blue,Convex-JellyFungi,Powder
P,Orange-Brown,Convex-Conical,Smooth
I,Gray-Brown,Convex,Smooth
P,Gray-Pale,Convex,Smooth
E,Pink,Convex-Depressed,Smooth
I,Gray-Brown,Conical-Flat,Smooth
I,White,Conical-Bellshaped,Smooth-Powder
I,Yellow,Convex,Smooth
P,Pale-Purple,Convex,Smooth
I,Gray-Brown,Bellshaped,Smooth
P,Lilac-Pink,Conical-Convex,Smooth
P,Purple-Pink,Conical-Bellshaped,Smooth
P,Pink-Brown,Conical,Smooth
P,Pink,Bellshaped,Smooth
I,Orange,Bellshaped-Knobbed,Smooth
I,Blue,Convex,RaisedScales-Hairy
P,Brown,Convex-Conical,Smooth
I,Gray,Conical-Bellshaped,Smooth
E,Gray,Convex,Smooth
E,White,Puffballs,Patches
E,Brown,Convex-Knobbed,Smooth
E,Pale-Tan,Convex-Depressed,Smooth
I,Gray-Brown,Earthstars,Smooth
I,Pink,Polypore-Shellshaped,Hairy
P,Brown,Convex-Flat,Smooth
P,Orange,Corticioid,
I,Blue-Brown,Convex-Flat,Smooth-Silky
E,Brown,Convex-Bolete,Smooth-Silky
E,Brown,Convex-Bolete,Smooth-Silky
I,White-Pink,CupFungi-JellyFungi,
E,Orange-Yellow,Polypore-Shellshaped,Hairy-Fibrous
P,Brown,Convex,FlatScales
I,Yellow,Convex-Funnelshaped,Smooth
P,White,Shellshaped,Smooth
P,Orange,Convex-Funnelshaped,Smooth
P,White,Funnelshaped,Smooth
P,Orange,Convex-Depressed,Smooth
P,Orange-Brown,Convex-Funnelshaped,Smooth
I,Brown,Polypore,Velvety
I,Orange,Convex-Bellshaped,Smooth-Silky
I,Brown,CupFungi,Smooth
I,Brown,CupFungi,Smooth
E,Yellow,CupFungi,Smooth
E,White,Convex-Flat,Smooth
E,White-Brown,Convex,Smooth
E,Black-Brown,TrueMorels-Conical,
E,Gray-Brown,Shellshaped,Smooth
I,Brown,CupFungi,Smooth
E,Brown-Pale,Convex-Bellshaped,Smooth
E,White-Gray,Convex,Smooth
E,Gray-Tan,Bellshaped-Flat,Smooth
E,Brown,Convex-Conical,Smooth
E,Brown,Convex,Smooth
E,Gray,Convex,Smooth
I,Brown-Black,Convex,Smooth
E,Black-Brown,Convex-Conical,Smooth
E,Brown-Pale,Conical-Bellshaped,Smooth
I,White-Pale,Convex-Conical,Smooth
I,White,Shellshaped,Silky
E,Green,Shellshaped,Smooth
P,Pale-Brown,Convex,Velvety-Hairy
E,Purple,Convex-Depressed,Smooth
I,Pink-Tan,Convex,Hairy
P,Pale-Tan,Convex-Depressed,Smooth
E,Yellow,Funnelshaped-Depressed,Smooth
P,Yellow-Brown,Convex-Depressed,Smooth
I,Gray,Convex-Conical,Smooth
P,Brown,Conical-Convex,Smooth
I,Gray,Convex-Depressed,Smooth
P,Pale-Gray,Convex-Depressed,
I,Gray,Convex-Bellshaped,Smooth-Powder
P,Brown,Convex-Depressed,Smooth
P,Brown,Convex-Funnelshaped,Smooth-FlatScales
E,White,Puffballs,RaisedScales-Patches
I,Brown,CupFungi,Smooth
I,Brown,CupFungi,Smooth
E,Brown-Black,CupFungi,Smooth
I,Gray-Pale,CupFungi,Smooth
I,Brown,CupFungi,Smooth
I,Brown,CupFungi,Smooth
E,Brown,CupFungi,Smooth
I,Violet-Lilac,CupFungi,Smooth
P,Brown,Convex-Flat,Powder
I,Black-Brown,Polypore,Velvety
E,Black,Stinkhorns,
E,Black-White,Stinkhorns,
E,Black,Stinkhorns,
P,Brown-Yellow,Stinkhorns,
E,Black,Stinkhorns,
I,Red,Stinkhorns,
I,Brown,Shellshaped,Velvety
I,Black,Polypore-Shellshaped,Smooth
I,Black,Polypore-Shellshaped,
I,Black,Shellshaped,
P,Brown-Gray,Shellshaped,Hairy
I,Gray-Brown,ToothFungi,Velvety-Hairy
I,Black,ToothFungi-Funnelshaped,Velvety
P,Brown,ToothFungi,Velvety-Fibrous
P,Orange,Corticioid,Hairy
E,Yellow,Bellshaped,Smooth-Patches
I,Yellow,Convex-Flat,Smooth
P,Yellow,Convex,Patches
I,Yellow,Convex-Bellshaped,Hairy
P,Pale,Convex,Patches
E,Brown,Convex-Flat,Smooth
I,Orange-Yellow,Convex-Flat,Patches
P,Brown-Pale,Convex-Flat,Smooth-Fibrous
P,Yellow,Convex-Flat,FlatScales-Patches
E,Orange,Convex,Smooth
P,Pink-Purple,Convex,Hairy-Fibrous
E,Yellow-Brown,Convex,Hairy-Fibrous
P,Yellow,Convex-Bellshaped,Hairy-Fibrous
E,Yellow,Convex-Bellshaped,RaisedScales
P,Brown-Yellow,Conical-Bellshaped,Smooth
E,Brown,Convex-Flat,Smooth
E,Brown,Convex-Flat,Smooth
I,Orange,Shellshaped,Hairy
I,Black-Brown,Truffles,Smooth
I,Blue,Convex,Smooth
I,Black,CupFungi,Smooth-RaisedScales
P,White,Funnelshaped,Smooth
E,Brown,Shellshaped,Smooth
E,Yellow,Funnelshaped,Smooth
E,White-Pale,Funnelshaped-Depressed,Smooth
E,Pink,Shellshaped,Smooth-Silky
E,White,Convex,Hairy-Patches
E,White,Convex-Depressed,Smooth
E,White,Shellshaped,Smooth
E,White,Shellshaped,Smooth
P,White,Corticioid,Velvety-Hairy
E,Gray-Brown,Bellshaped-Flat,Smooth
E,Black-Brown,Convex,Smooth
E,Brown,Convex-Flat,Smooth-Fibrous
E,Yellow,Convex-Knobbed,Smooth
E,Yellow,Convex,Silky
P,White-Gray,Convex-Bellshaped,Smooth
E,Pale,Convex-Flat,Smooth
E,Brown,Convex-Flat,
E,Gray,Convex,Smooth
E,Black-Brown,Convex-Flat,Hairy-Fibrous
P,Brown,Convex,Hairy-Velvety
E,White,Cylindrical,Patches-Fibrous
E,Blue-Purple,Funnelshaped,Velvety
I,Brown,Polypore,Hairy-Silky
I,Gray-Brown,Convex-Flat,Hairy-Fibrous
I,Brown,Funnelshaped-Polypore,Smooth
I,Brown,Polypore,Smooth
E,Brown,Polypore-Funnelshaped,Hairy
E,Gray,Polypore,Smooth
I,Gray,CupFungi,Smooth
I,,Shellshaped-Polypore,Smooth
I,Black-Brown,Convex-Bolete,Smooth-Silky
E,Pink,Conical,Smooth
I,Blue-Gray,Polypore,Hairy-Fibrous
I,White,Polypore-Shellshaped,Velvety-Hairy
I,White,Polypore-Shellshaped,Velvety
I,White,Polypore-Shellshaped,Hairy-Velvety
P,Brown-Pale,Bellshaped,Smooth
I,Tan,Convex,Hairy
I,Brown-Pale,Convex-Bellshaped,Smooth
P,Brown,Convex-Flat,Smooth
P,Brown,Conical,Fibrous
E,Brown,Convex-Bellshaped,Hairy-Fibrous
E,Brown,Convex-Bellshaped,Smooth
E,Yellow-Brown,Convex,Smooth
E,Brown-Black,Convex-Depressed,Smooth
I,Red,Stinkhorns,
E,White,JellyFungi-ToothFungi,RaisedScales
I,Orange-Brown,Polypore,Velvety
I,Black,CupFungi,Smooth
E,Brown,Convex-Flat,Smooth
E,Brown,Convex-Flat,Smooth-Slimy
E,Brown,Conical-Knobbed,Smooth
E,Black,Convex-Conical,Smooth
E,Pale,Convex,Smooth
E,Brown,Convex-Bellshaped,Smooth
E,Yellow-Brown,Conical-Convex,Smooth
E,Brown-Yellow,Convex-Knobbed,Smooth
E,Brown,Conical-Convex,Smooth
E,Brown-Yellow,Convex-Knobbed,Smooth
E,Violet-Black,Convex-Conical,Smooth
E,Brown,Conical-Bellshaped,Smooth
E,Brown,Conical,Smooth
E,White,Conical-Bellshaped,Smooth
E,Brown,Conical-Bellshaped,Smooth
E,Brown,Convex-Knobbed,Smooth
E,Brown-Pale,Conical,Smooth
E,Brown,Convex,Smooth
E,Pale,Conical-Knobbed,Smooth
E,Pale,Conical-Knobbed,Smooth
E,Brown,Conical,Smooth
E,Brown,Conical-Flat,Smooth
E,Tan,Convex-Conical,Smooth
E,Brown,Conical-Knobbed,Smooth
E,Brown,Conical,Smooth
E,Brown,Convex-Bellshaped,Smooth
E,Brown,Convex-Conical,Smooth
E,Pale-Gray,,Smooth
E,Brown,Conical-Bellshaped,Smooth
E,Lilac,Convex-Depressed,Smooth
I,Orange,Polypore-Shellshaped,Velvety
I,Orange,Polypore,Velvety
I,Green-Yellow,CoralFungi,Smooth
E,Red,CoralFungi,Smooth
E,Pink-Red,CoralFungi,Smooth
P,Pink,CoralFungi,Smooth
E,Pale-Yellow,CoralFungi,Smooth
I,Tan,CoralFungi,
E,Yellow,CoralFungi,Smooth
P,Yellow,CoralFungi,Smooth
E,White-Pale,CoralFungi,Smooth
E,Pink-Red,CoralFungi,Smooth
I,Yellow,CoralFungi,Smooth
I,Black-Violet,ToothFungi,Smooth-Silky
I,Gray,Convex-Shellshaped,Hairy-Fibrous
E,Yellow,Convex-Bolete,Velvety
E,Tan,Convex-Bolete,Smooth-FlatScales
I,Brown,Truffles,Fibrous
E,Brown,Truffles,Smooth
E,Brown,Convex,Smooth
I,White,Convex,Smooth
P,Pink,Corticioid,
I,Pink,Convex-JellyFungi,Smooth-Silky
P,Orange,Convex-Depressed,Smooth
P,White-Brown,Convex-Depressed,Smooth
I,Black-Brown,Convex-Polypore,Smooth
P,Red,Bolete-Convex,Smooth-Silky
P,Red,Convex,Smooth
P,Red,Convex-Bolete,Smooth
P,Gray-Pink,Convex-Bolete,Smooth-Silky
E,Pink-Pale,Convex-Bolete,Smooth-Silky
P,Brown-Red,Bolete-Convex,Smooth-Silky
I,Gray-Red,Convex-Bolete,Smooth-Silky
P,Purple,Convex,Smooth-Fibrous
P,Pale-Red,Convex-Bolete,Smooth
E,Brown,Convex,Smooth
E,Brown-Gray,Convex-Depressed,Smooth
E,Gray-Green,Convex-Depressed,Smooth
E,Gray-Brown,Convex-Depressed,Smooth
E,Purple,Convex-Depressed,Smooth
E,Orange-Red,Convex-Depressed,Smooth
E,Pink-Yellow,Convex-Depressed,Smooth-Velvety
E,Violet,Convex-Depressed,Smooth
I,White-Pink,Convex-Depressed,Smooth
E,White,Convex-Depressed,Smooth
E,Yellow,Convex-Depressed,Smooth
E,Lilac-Violet,Convex-Depressed,Smooth
E,Orange,Convex-Depressed,Smooth
E,White,Convex-Funnelshaped,Smooth
E,Brown,Convex-Depressed,Smooth
P,Brown,Convex-Depressed,Smooth
P,Pink-Red,Convex-Depressed,Smooth
I,Yellow,Convex-Depressed,Smooth
I,Yellow,Convex-Depressed,Smooth
I,Yellow,Convex-Depressed,Smooth
I,Purple,Convex-Depressed,Smooth
P,Brown-Yellow,Convex-Depressed,Smooth
P,Gray-Pink,Convex-Depressed,Smooth
P,Brown,Flat-Depressed,Smooth
E,Green,Convex-Depressed,Smooth
I,Brown-Yellow,Convex-Flat,Smooth
E,Gray-Black,Convex-Depressed,Smooth
P,Red,Convex-Depressed,Smooth
E,Yellow,Convex-Depressed,Smooth
E,Green-Violet,Convex-Depressed,Smooth
E,Purple,Convex-Depressed,Smooth
P,Purple,Convex-Depressed,Smooth
E,Red-Pink,Convex-Depressed,Smooth
I,Red,Convex-Depressed,Smooth
I,Purple,Convex-Depressed,Smooth
I,Red-Purple,Convex-Depressed,Smooth
E,Purple,Convex-Depressed,Smooth
E,Green-Pink,Convex-Flat,Smooth
E,Red-Brown,Convex-Depressed,Smooth
E,Green,Convex,Patches
E,Red-Green,Convex-Flat,FlatScales
E,Red,Convex-Depressed,Smooth
E,Tan,Cauliflower,Smooth
E,Brown,Convex-ToothFungi,Patches
P,Pale-Brown,Convex-ToothFungi,Smooth
P,Brown,Convex-ToothFungi,FlatScales-Hairy
E,Brown,Convex-ToothFungi,Fibrous-Patches
E,Red,CupFungi,Smooth
E,Red,CupFungi,Smooth
I,Red,CupFungi,Smooth
I,Brown,CupFungi,
I,Pink-Brown,CupFungi,Smooth
I,White-Tan,Bellshaped-Flat,Smooth-Patches
I,Gray-White,Shellshaped,Hairy
P,Brown,Puffballs,FlatScales
P,Brown,Puffballs,FlatScales-Patches
P,White,Earthstars-Truffles,Smooth-Patches
I,Brown,Puffballs,FlatScales
I,Red,CupFungi,Smooth-Hairy
I,Orange,CupFungi,Hairy
I,Red,CupFungi,Hairy
I,Orange-Red,CupFungi,Smooth-Hairy
P,Gray,Corticioid,
P,White,CoralFungi,
I,White,CoralFungi,Smooth
P,Brown,Corticioid,Velvety
P,Brown,Convex-Flat,Velvety
I,White,Corticioid,Hairy
P,White,Convex,Fibrous-Patches
E,Pale-Tan,Puffballs,RaisedScales
E,Yellow,Cauliflower,
E,White-Tan,Cauliflower,Smooth
E,Yellow,CoralFungi,Smooth
I,Pale,CoralFungi,Smooth
P,Brown,Conical,Hairy
I,Orange,JellyFungi-CoralFungi,
I,White,ToothFungi,Smooth
P,Pale-Brown,Convex-Flat,Hairy-Fibrous
P,Brown,Corticioid-ToothFungi,
I,Brown,Polypore-Shellshaped,Hairy
I,Brown-Orange,Funnelshaped,Velvety-Smooth
P,Brown-Gray,Corticioid,Smooth-Hairy
I,,Corticioid,Velvety
I,Brown,Shellshaped,Smooth
E,Black-Brown,Convex-Bolete,Fibrous-Patches
E,Brown,Convex-Flat,Smooth
E,Black-Brown,Convex-Flat,Smooth
P,Brown,Convex-Depressed,Smooth
P,Blue,Convex-Bellshaped,Smooth
I,Yellow,Convex-Flat,Smooth-Slimy
I,Blue,Bellshaped-Convex,Hairy
P,Yellow,Convex-Flat,Smooth
I,Brown,Convex-Conical,Smooth
E,White,Convex-Bellshaped,Smooth-Fibrous
I,Blue-Gray,Convex-Conical,Smooth-Fibrous
E,Red-Brown,Convex-Flat,Smooth
E,Pale-Yellow,Convex,Smooth
E,Yellow-Brown,Convex-Bolete,Smooth-Silky
P,Red-Pale,Convex-Bolete,Smooth-Silky
E,Yellow-Red,Convex-Bolete,Smooth-Silky
E,Yellow,Convex-Bolete,Smooth
E,Gray-Pale,Convex-Bolete,Smooth
E,Brown,Convex,Smooth
E,Pale-Yellow,Convex-Bolete,Smooth
E,Brown,Convex-Flat,Smooth-Slimy
E,Brown,Convex,Hairy-Fibrous
E,Brown,Convex-Flat,FlatScales
E,Brown-Pale,Convex-Bolete,Smooth
E,Yellow-Orange,Convex-Bolete,Smooth-Slimy
E,Brown-Yellow,Convex,Smooth-Slimy
E,Brown,Convex-Depressed,Fibrous-FlatScales
E,Brown,Convex-Bolete,Smooth-Slimy
E,Brown-Yellow,Convex-Bolete,Smooth
E,White-Yellow,Convex,Smooth
E,Brown,Convex,Smooth
E,Brown-Orange,Convex,Smooth-Slimy
E,Yellow,Convex-Flat,Smooth-Patches
E,Pink,Convex-Bolete,Fibrous-FlatScales
E,Brown,Convex-Flat,Fibrous-Patches
E,Yellow,Convex-Bolete,Hairy-Smooth
E,Orange,Convex,Hairy-Fibrous
E,Yellow-Brown,Convex,Fibrous-Patches
E,White-Gray,Convex-Flat,Smooth
E,Yellow,Convex-Bolete,Velvety-Silky
I,Yellow,JellyFungi,Smooth
E,Black,Truffles,
E,White,JellyFungi,Smooth
I,Brown,Convex-Funnelshaped,Smooth-Silky
P,Yellow-Brown,Shellshaped,Velvety
I,Gray-Yellow,CupFungi,Smooth
P,Blue,Corticioid,Velvety
E,White,Convex-Flat,Smooth
E,White,Convex-Flat,Smooth-Fibrous
E,Brown,Convex,Smooth-FlatScales
P,Gray-Brown,CoralFungi,Hairy
P,Gray,CoralFungi,Smooth
P,Brown,CoralFungi,Smooth-Hairy
I,Black-Brown,Corticioid,Velvety-Hairy
I,Gray-White,Funnelshaped,Velvety-Hairy
I,Gray,Polypore-Shellshaped,Velvety
E,Gray,Polypore-Shellshaped,Smooth
I,White-Gray,Polypore-Shellshaped,Smooth-Hairy
I,Brown-Pink,Shellshaped-Polypore,Velvety
I,Brown,Polypore-Shellshaped,Velvety
I,Pale,Polypore-Shellshaped,Smooth
I,White,Polypore,Velvety
I,Brown,Polypore,Hairy
E,Gray,Polypore,Velvety
E,Yellow,JellyFungi,Smooth
P,Pink,JellyFungi,Smooth
E,Brown-Pale,JellyFungi-Cauliflower,Smooth
E,Yellow,JellyFungi,Smooth
I,Purple,Polypore-Shellshaped,Velvety
I,Gray-Lilac,Polypore-Shellshaped,Velvety
P,Black,CoralFungi,Velvety
P,Black,CoralFungi,Smooth
P,Yellow,Convex,Smooth
P,White,Convex-Flat,Smooth
E,Gray-Brown,Convex-Knobbed,FlatScales-Fibrous
P,Brown-Yellow,Convex-Bellshaped,Smooth-Fibrous
P,Gray,Convex-Flat,FlatScales
E,Brown,Convex,FlatScales-Patches
E,Gray-Brown,Convex,Fibrous
P,Yellow,Convex-Flat,Smooth
E,Brown,Convex-Flat,Fibrous-Patches
I,Brown,Convex-Flat,Smooth
E,Brown,Convex,Smooth-FlatScales
P,White-Pale,Convex-Knobbed,Smooth
E,White,Convex-Flat,Smooth-Fibrous
E,Gray,Convex-Conical,Fibrous-FlatScales
P,Gray-Pale,Convex-Flat,FlatScales
E,Gray-Black,Convex,Smooth
I,Pale-Gray,Convex-Flat,Smooth
P,Gray,Convex-Flat,Fibrous-FlatScales
P,Gray,Convex-Flat,
I,Brown,Convex-Flat,Smooth
I,Brown,Convex-Flat,Smooth-Fibrous
P,White,Convex-Depressed,Smooth-Silky
I,Yellow,Convex-Flat,Smooth
P,Gray,Convex-Knobbed,Hairy-Fibrous
P,Brown,Convex-Flat,Smooth
P,Brown,Convex-Flat,Fibrous-Patches
I,Gray,Conical-Knobbed,Smooth
P,Yellow,Convex-Flat,RaisedScales
E,Purple-Red,Conical-Bellshaped,Hairy-Fibrous
P,Yellow,Convex-Flat,Smooth-Fibrous
P,White-Brown,Bellshaped-Funnelshaped,Smooth
P,Pink,Convex-Flat,Smooth-Fibrous
P,Brown,Bellshaped-Convex,Smooth
E,Black,Truffles,
E,Brown,Truffles,
E,Black,Truffles,RaisedScales
E,Brown,Truffles,
E,Black,Truffles,
E,Brown,Truffles,
E,Black,Truffles,
E,Pale,Truffles,
E,Brown,Truffles,
E,Black,Truffles,
P,White-Gray,Puffballs,
P,Orange,Funnelshaped-Chanterelles,Smooth
P,Brown,Funnelshaped,RaisedScales-Patches
E,Orange,Convex-Bolete,Velvety
I,Tan-Brown,Convex-Bolete,Velvety-Silky
E,Brown,Convex-Bolete,Smooth-Silky
E,Brown-Tan,Convex-Bolete,Smooth-Silky
E,White,Convex-Bolete,Smooth
E,Purple-Brown,Convex-Bolete,Smooth-Silky
E,Brown,Convex-Bolete,Smooth
P,Pale,CoralFungi,Smooth
I,White,Polypore,Velvety
E,Violet-Purple,Convex-Flat,Smooth-Silky
I,Black,CupFungi,
E,Brown,TrueMorels,
E,Brown,Convex-Bellshaped,Smooth
E,White,Convex-Bellshaped,Hairy
I,White,Convex-Bellshaped,Hairy-Fibrous
E,Gray,Convex-Bellshaped,Smooth
P,White-Red,Convex-Depressed,Smooth
I,Brown,Conical-Bellshaped,Smooth
I,Pink-Purple,CupFungi,Smooth-Silky
E,Brown-Red,Convex-Bolete,Velvety-FlatScales
E,Brown,Convex-Bolete,Smooth-Silky
E,Red,Convex-Bolete,Smooth-FlatScales
E,Brown,Convex-Bolete,Smooth-Silky
E,Brown,Convex-Bolete,Smooth-Silky
E,Brown,Convex-Bolete,Silky-FlatScales
E,Brown,Convex-Bolete,Smooth-Silky
E,Brown-Red,Convex-Bolete,Smooth-FlatScales
E,,Convex-Bolete,Smooth-Silky
E,Brown-Yellow,Convex-Bolete,Velvety
P,Yellow-Orange,Convex-Depressed,Smooth
P,Brown,Flat-Depressed,Smooth
P,Yellow-Brown,Convex-Flat,Smooth
P,Yellow-Orange,Convex-Depressed,Smooth
E,Brown,Bellshaped-Flat,Velvety
I,Black-White,CoralFungi,Smooth
I,White,CoralFungi,Smooth
I,Black,CoralFungi,
I,Black,CoralFungi,
E,Brown-Black,Convex-Bolete,Velvety-Smooth
